1,Colour 5 by 2,Picture,5,2,Landscape,59,105,0,0,0,0,Acrobat PDFWriter,9,0,0
2,Sticker 1 by 1,Text,1,1,Landscape,89,49,0,0,0,0,TEC B-SA4T (203 dpi),256,0,0
3,Bedcard A5,Picture,1,1,Landscape,210,149.8,0,0,0,0,OKI C531(PCL),11,0,0
4,Sticker 5 by 15,Picture,5,15,Portrait,40,18.5,0,0,0,0,OKI C531(PCL),9,0,0
5,Bedcard A5 Portrait,Picture,1,1,Portrait,149.8,210,0,0,0,0,OKI C531(PCL),11,0,0
6,Loop Lock,Picture,1,10,Portrait,210,25.5,0,0,0,0,OKI C531(PCL),256,0,0
7,Thin Sticker,Text,1,1,Landscape,85,20,0,0,0,0,TEC B-SA4T (203 dpi),256,0,0
